Reaction Date,Reaction Type,Parent Type,Parent ID
"Feb 14, 2024, 6:02:32 PM",Kudos,Activity,10604540855
"Feb 14, 2024, 6:02:34 PM",Kudos,Activity,10590731031
"Feb 14, 2024, 6:02:35 PM",Kudos,Activity,10585409197
"Feb 14, 2024, 6:02:37 PM",Kudos,Activity,10579129674
"Feb 14, 2024, 6:02:38 PM",Kudos,Activity,10546069292
"Feb 14, 2024, 6:02:47 PM",Kudos,Activity,10537078994
"Feb 14, 2024, 6:02:50 PM",Kudos,Activity,10527583406
"Feb 14, 2024, 6:02:52 PM",Kudos,Activity,10520947488
"Feb 14, 2024, 6:02:54 PM",Kudos,Activity,10505138321
"Feb 14, 2024, 6:02:56 PM",Kudos,Activity,10501468198
"Feb 14, 2024, 6:03:09 PM",Kudos,Activity,10495460838
"Feb 14, 2024, 6:03:11 PM",Kudos,Activity,10482008846
"Feb 14, 2024, 6:03:12 PM",Kudos,Activity,10453925480
"Feb 14, 2024, 6:03:14 PM",Kudos,Activity,10445942305
"Feb 14, 2024, 6:03:16 PM",Kudos,Activity,10431524816
"Feb 15, 2024, 5:01:16 PM",Kudos,Activity,10767652162
"Feb 15, 2024, 9:00:50 PM",Kudos,Activity,10768507920
"Feb 16, 2024, 12:28:29 AM",Kudos,Activity,10770269747
"Feb 16, 2024, 6:48:17 PM",Kudos,Activity,10773620572
"Feb 16, 2024, 6:48:29 PM",Kudos,Activity,10773705710
"Feb 17, 2024, 4:45:37 PM",Kudos,Activity,10781365229
"Feb 17, 2024, 4:45:43 PM",Kudos,Activity,10781249216
"Feb 17, 2024, 4:46:14 PM",Kudos,Activity,10780778386
"Feb 17, 2024, 5:59:50 PM",Kudos,Activity,10781728049
"Feb 17, 2024, 6:08:43 PM",Kudos,Activity,10781932383
"Feb 17, 2024, 6:52:30 PM",Kudos,Activity,10780710041
"Feb 17, 2024, 7:27:31 PM",Kudos,Activity,10782164623
"Feb 17, 2024, 10:13:38 PM",Kudos,Activity,10782791431
"Feb 18, 2024, 4:46:22 PM",Kudos,Activity,10788076415
"Feb 19, 2024, 5:14:01 PM",Kudos,Activity,10793905670
"Feb 20, 2024, 4:48:49 PM",Kudos,Activity,10801109874
"Feb 20, 2024, 6:51:41 PM",Kudos,Activity,10801109862
"Feb 21, 2024, 9:14:59 PM",Kudos,Activity,10809823794
"Feb 21, 2024, 9:15:05 PM",Kudos,Activity,10809823921
"Feb 21, 2024, 9:15:13 PM",Kudos,Activity,10808237769
"Feb 22, 2024, 2:13:08 PM",Kudos,Activity,10814040987
"Feb 22, 2024, 5:43:08 PM",Kudos,Activity,10814192363
"Feb 22, 2024, 5:43:10 PM",Kudos,Activity,10814161778
"Feb 22, 2024, 5:43:13 PM",Kudos,Activity,10814402342
"Feb 23, 2024, 10:24:20 PM",Kudos,Activity,10822638259
"Feb 24, 2024, 4:04:01 AM",Kudos,Activity,10823273586
"Feb 24, 2024, 4:47:03 PM",Kudos,Activity,10828239270
"Feb 24, 2024, 4:47:06 PM",Kudos,Activity,10828265458
"Feb 24, 2024, 4:47:07 PM",Kudos,Activity,10828017222
"Feb 24, 2024, 4:47:09 PM",Kudos,Activity,10828062076
"Feb 24, 2024, 4:47:10 PM",Kudos,Activity,10827689053
"Feb 24, 2024, 5:55:07 PM",Kudos,Activity,10828193395
"Feb 24, 2024, 7:17:14 PM",Kudos,Activity,10828656755
"Feb 24, 2024, 7:18:19 PM",Kudos,Activity,10828017591
"Feb 24, 2024, 7:18:20 PM",Kudos,Activity,10828021822
"Feb 24, 2024, 7:18:22 PM",Kudos,Activity,10828029396
"Feb 24, 2024, 11:03:04 PM",Kudos,Activity,10830083591
"Feb 25, 2024, 8:49:08 PM",Kudos,Activity,10836989812
"Feb 25, 2024, 8:49:41 PM",Kudos,Activity,10836084254
"Feb 25, 2024, 8:49:44 PM",Kudos,Activity,10836027564
"Feb 25, 2024, 8:49:46 PM",Kudos,Activity,10835864504
"Feb 26, 2024, 5:39:00 PM",Kudos,Activity,10841112795
"Feb 26, 2024, 5:39:11 PM",Kudos,Activity,10840364471
"Feb 27, 2024, 1:29:25 PM",Kudos,Activity,10847101288
"Feb 27, 2024, 3:57:35 PM",Kudos,Activity,10847466658
"Feb 27, 2024, 4:05:51 PM",Kudos,Activity,10847315702
"Feb 27, 2024, 4:05:52 PM",Kudos,Activity,10847537003
"Feb 27, 2024, 4:05:57 PM",Kudos,Activity,10847315789
"Feb 27, 2024, 4:06:04 PM",Kudos,Activity,10847473606
"Feb 27, 2024, 6:51:19 PM",Kudos,Activity,10849093977
"Feb 28, 2024, 3:37:18 AM",Kudos,Activity,10851590794
"Feb 28, 2024, 3:09:10 PM",Kudos,Activity,10852086425
"Feb 28, 2024, 3:09:47 PM",Kudos,Activity,10853505509
"Feb 29, 2024, 12:41:08 AM",Kudos,Activity,10858240088
"Feb 29, 2024, 12:41:14 AM",Kudos,Activity,10858296976
"Feb 29, 2024, 12:41:23 AM",Kudos,Activity,10857644739
"Feb 29, 2024, 9:39:10 PM",Kudos,Activity,10863657181
"Feb 29, 2024, 9:39:13 PM",Kudos,Activity,10861348553
"Feb 29, 2024, 9:39:15 PM",Kudos,Activity,10861139979
"Feb 29, 2024, 9:39:16 PM",Kudos,Activity,10861246068
"Mar 1, 2024, 3:21:59 PM",Kudos,Activity,10867751307
"Mar 1, 2024, 4:11:11 PM",Kudos,Activity,10868149423
"Mar 1, 2024, 4:11:35 PM",Kudos,Activity,10868173587
"Mar 1, 2024, 10:44:47 PM",Kudos,Activity,10870205327
"Mar 2, 2024, 4:27:36 PM",Kudos,Activity,10875303615
"Mar 2, 2024, 4:37:06 PM",Kudos,Activity,10875252187
"Mar 2, 2024, 4:43:56 PM",Kudos,Activity,10874220806
"Mar 2, 2024, 5:14:28 PM",Kudos,Activity,10875600097
"Mar 2, 2024, 5:27:33 PM",Kudos,Activity,10875540523
"Mar 2, 2024, 5:30:28 PM",Kudos,Activity,10875237000
"Mar 2, 2024, 5:55:39 PM",Kudos,Activity,10875695466
"Mar 2, 2024, 5:55:46 PM",Kudos,Activity,10874935131
"Mar 2, 2024, 5:55:48 PM",Kudos,Activity,10874012910
"Mar 2, 2024, 5:55:53 PM",Kudos,Activity,10875207111
"Mar 2, 2024, 5:55:56 PM",Kudos,Activity,10872712703
"Mar 2, 2024, 5:55:58 PM",Kudos,Activity,10870555397
"Mar 2, 2024, 5:55:59 PM",Kudos,Activity,10873662622
"Mar 2, 2024, 5:56:00 PM",Kudos,Activity,10873942574
"Mar 2, 2024, 5:56:02 PM",Kudos,Activity,10871326465
"Mar 2, 2024, 5:56:03 PM",Kudos,Activity,10871326503
"Mar 2, 2024, 6:46:36 PM",Kudos,Activity,10876177317
"Mar 2, 2024, 7:22:41 PM",Kudos,Activity,10876345541
"Mar 2, 2024, 10:34:25 PM",Kudos,Activity,10877080075
"Mar 3, 2024, 3:27:37 AM",Kudos,Activity,10878071408
"Mar 3, 2024, 5:13:35 AM",Kudos,Activity,10878024777
"Mar 3, 2024, 5:13:37 AM",Kudos,Activity,10877698313
"Mar 3, 2024, 5:13:48 AM",Kudos,Activity,10876971681
"Mar 3, 2024, 4:38:35 PM",Kudos,Activity,10882297509
"Mar 3, 2024, 5:05:04 PM",Kudos,Activity,10882320722
"Mar 3, 2024, 5:05:06 PM",Kudos,Activity,10882813253
"Mar 3, 2024, 6:54:14 PM",Kudos,Activity,10883850816
"Mar 3, 2024, 7:25:16 PM",Kudos,Activity,10883858052
"Mar 3, 2024, 7:53:37 PM",Kudos,Activity,10884150197
"Mar 3, 2024, 7:53:40 PM",Kudos,Activity,10884058421
"Mar 3, 2024, 10:13:55 PM",Kudos,Activity,10884485033
"Mar 4, 2024, 2:22:25 AM",Kudos,Activity,10885093028
"Mar 4, 2024, 2:22:26 AM",Kudos,Activity,10885093041
"Mar 4, 2024, 1:17:52 PM",Kudos,Activity,10886882097
"Mar 4, 2024, 1:17:54 PM",Kudos,Activity,10885706530
"Mar 4, 2024, 1:17:57 PM",Kudos,Activity,10887716890
"Mar 4, 2024, 2:01:23 PM",Kudos,Activity,10888064950
"Mar 4, 2024, 5:03:32 PM",Kudos,Activity,10888317019
"Mar 5, 2024, 12:59:36 PM",Kudos,Activity,10894917201
"Mar 5, 2024, 12:59:56 PM",Kudos,Activity,10891950979
"Mar 5, 2024, 1:00:00 PM",Kudos,Activity,10892183709
"Mar 5, 2024, 2:50:42 PM",Kudos,Activity,10895665569
"Mar 5, 2024, 2:50:49 PM",Kudos,Activity,10895138124
"Mar 5, 2024, 2:50:51 PM",Kudos,Activity,10895413270
"Mar 5, 2024, 3:57:46 PM",Kudos,Activity,10895502404
"Mar 6, 2024, 12:35:08 AM",Kudos,Activity,10899424425
"Mar 6, 2024, 12:53:46 AM",Kudos,Activity,10899538212
